id,academic_degree,accommodation_capability,accommodation_type,additional_premium,additional_requirements,bonus_type,measure_type,busy_type,career_perspective,change_time,code_external_system,code_profession,code_professional_sphere,company_code,contact_person,contact_source,data_ids,date_create,date_modify,deleted,education,education_speciality,foreign_workers_capability,metro_ids,is_mobility_program,is_moderated,is_uzbekistan_recruitment,is_quoted,need_medcard,oknpo_code,okso_code,original_source_type,other_vacancy_benefit,position_requirements,position_responsibilities,publication_period,published_date,regionName,regionNameTerm,company_business_size,required_certificates,required_drive_license,required_experience,retraining_capability,retraining_condition,retraining_grant,retraining_grant_value,salary,salary_min,salary_max,schedule_type,social_protected_ids,source_type,state_region_code,status,transport_compensation,vacancy_address_additional_info,vacancy_address,vacancy_address_code,vacancy_address_house,vacancy_address_latitude,vacancy_address_longitude,vacancy_benefit_ids,vacancy_name,visibility,work_places,professionalSphereName,federalDistrictCode,industryBranchName,contactList,company_name,full_company_name,company_inn,company,languageKnowledge,hardSkills,softSkills
47a8cf85-4527-11ed-bcc0-791a818bdadb,,False,,,"<p>Адреса по вакансии Уборщик производственных и служебных помещений:</p> <p>-г.Пермь, ул.Ленина, 28;</p> <p>-Г.пермь, ул.Пихтовая, 47</p>",,,Полная занятость,False,2023-11-14T09:52:46+0300,,192588.0,NotQualification,4be20970-74ff-11ec-833e-4febb26dc4ec,Красноперова Олеся Павловна,,"[""47a8cf80-4527-11ed-bcc0-791a818bdadb"",""47a8cf81-4527-11ed-bcc0-791a818bdadb"",""47a8cf82-4527-11ed-bcc0-791a818bdadb"",""47a8cf83-4527-11ed-bcc0-791a818bdadb"",""47a8cf84-4527-11ed-bcc0-791a818bdadb""]",2022-10-06T06:30:52+0300,2023-11-14T13:11:40+0300,False,Среднее,,,,False,True,False,False,,,,COMPANY,Социальный пакет,<p>Образование: среднее общее (9 классов)</p> <p>Ответственность</p>,Проводит ежедневную и генеральную уборку и дезинфекцию в помещениях местах общего пользования  объекта почтовой связи,0.0,2023-11-14T13:11:40+0300,Пермский край,,SMALL,,[],0.0,,,нет стипендии,,от 18300,18300.0,0.0,Полный рабочий день,,Работодатель,5900000000000.0,ACCEPTED,,,"Пермский край, Город Пермь, Ленина улица, 89",5.90000010000633e+16,89,58.008614,56.223622,,Уборщик производственных и служебных помещений,VISIBLE_TO_ALL,4,"Работы, не требующие квалификации",4.0,,,,УФПС ПЕРМСКОГО КРАЯ,7724490000.0,"{""companycode"":""4be20970-74ff-11ec-833e-4febb26dc4ec"",""email"":""admin_zakupki@russianpost.ru"",""hr-agency"":false,""inn"":""7724490000"",""kpp"":""590243001"",""name"":""УФПС ПЕРМСКОГО КРАЯ"",""ogrn"":""1197746000000"",""phone"":""+7(495)9562067"",""site"":""https://www.pochta.ru/"",""url"":""https://trudvsem.ru/company/4be20970-74ff-11ec-833e-4febb26dc4ec""}",[],[],[]
479f8795-6678-11ee-ac0f-e7d0d2cf29b1,,True,ROOM,,,,,Полная занятость,False,2023-10-09T10:48:47+0300,,177107.0,Forest,320435000033341,Ахтямова Динара Минсуровна ,,"[""479f8790-6678-11ee-ac0f-e7d0d2cf29b1"",""479f8791-6678-11ee-ac0f-e7d0d2cf29b1"",""479f8792-6678-11ee-ac0f-e7d0d2cf29b1"",""479f8793-6678-11ee-ac0f-e7d0d2cf29b1"",""479f8794-6678-11ee-ac0f-e7d0d2cf29b1""]",2023-10-09T10:48:47+0300,2023-11-13T14:56:41+0300,False,Не указано,,,,,True,False,False,,,,COMPANY,,<p>1. Пунктуальность</p> <p>2. Ответственность</p> <p>3. Отсутствие вредных привычек</p>,<p>1. Распиловка балансов и хвойных пород</p> <p>2. Уборка места работы в конце дня</p> <p>3. Отчет о сделанной работе</p>,0.0,2023-11-13T14:53:43+0300,Кировская область,,MICRO,,[],0.0,,,нет стипендии,,от 35000,35000.0,100000.0,Полный рабочий день,,Работодатель,4300000000000.0,ACCEPTED,,,Кировская область,4300000000000.0,,58.344112,49.695439,,Оператор лесопильных линий,VISIBLE_TO_ALL,2,"Лесная, деревообрабатывающая, целлюлозно-бумажная промышленность",4.0,,,,Индивидуальный предприниматель АХТЯМОВА ДИНАРА МИНСУРОВНА,431006894349.0,"{""companycode"":""320435000033341"",""hr-agency"":false,""inn"":""431006894349"",""name"":""ИП АХТЯМОВА Д. М."",""ogrn"":""320435000033341"",""phone"":""+7(922) 973-24-45"",""url"":""https://trudvsem.ru/company/320435000033341""}",[],[],[]
478feef5-20a2-11ee-81b8-dd0276383d19,,False,,,,,,Полная занятость,False,2023-07-12T13:53:05+0300,,254163.0,Sales,1075505000295,Сергей,,"[""478feef0-20a2-11ee-81b8-dd0276383d19"",""478feef1-20a2-11ee-81b8-dd0276383d19"",""478feef2-20a2-11ee-81b8-dd0276383d19"",""478feef3-20a2-11ee-81b8-dd0276383d19"",""478feef4-20a2-11ee-81b8-dd0276383d19""]",2023-07-12T13:53:05+0300,2023-11-14T13:32:46+0300,False,Не указано,,,,,True,False,True,,,,COMPANY,,<p>Ответственность</p>,<p>Должностные обязанности согласно должностной инструкции</p>,0.0,2023-11-14T13:32:46+0300,Омская область,,SMALL,,[],0.0,,,нет стипендии,,от 18679,18679.0,18679.0,Сменный график,,Работодатель,5500000000000.0,ACCEPTED,,,"Омская область, Русско-Полянский район, Русская Поляна рабочий поселок, Ленина улица, 41",5.50240000010012e+16,41,53.777862,73.874296,,Контролер,VISIBLE_TO_ALL,1,"Продажи, закупки, снабжение, торговля",6.0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЛЛИФУД""",5505043485.0,"{""companycode"":""1075505000295"",""email"":""gorin_aleksandr@mail.ru"",""hr-agency"":false,""inn"":""5505043485"",""kpp"":""550501001"",""name"":""ООО \""ХОЛЛИФУД\"""",""ogrn"":""1075505000295"",""phone"":""+7(381)2453556"",""url"":""https://trudvsem.ru/company/1075505000295""}",[],[],[]
4786c6f5-7925-11ee-be6b-cb26dff57dd7,,False,,,"<ul> <li>Почта России &ndash; надежный и ответственный работодатель.</li> </ul> <ul> <li>Оформление по ТК РФ в первый рабочий день;</li> <li>Стабильная выплата заработной платы на банковскую карту;</li> <li>Заработная плата состоит: фиксированный оклад + ежемесячная премия + дополнительные выплаты за ночные смены;</li> <li>Полная социальная защищенность (оплачиваемые больничные и отпуска, льготный санаторно-курортный отдых для сотрудников и детей сотрудников);</li> <li>Корпоративные скидки на членство в фитнес-клубах, организация культурного досуга работников, новогодние подарки и т.д.;</li> <li>Специальные программы на банковские продукты;</li> <li>График работы 1/3 (сутки через трое);</li> <li>Место работы: ул. Ленинградская, 62 А</li> </ul>",,,Полная занятость,False,2023-11-02T05:12:31+0300,,114536.0,Transport,f96ddf00-66af-11ec-8c24-57fc951f3846,Викулова Яна Олеговна,,"[""4786c6f0-7925-11ee-be6b-cb26dff57dd7"",""4786c6f1-7925-11ee-be6b-cb26dff57dd7"",""4786c6f2-7925-11ee-be6b-cb26dff57dd7"",""4786c6f3-7925-11ee-be6b-cb26dff57dd7"",""4786c6f4-7925-11ee-be6b-cb26dff57dd7""]",2023-11-02T05:12:31+0300,2023-11-02T05:39:52+0300,False,Не указано,,,,,True,False,False,,,,COMPANY,,"<ul> <li>Средне-специальное образование;</li> <li>Опыт управления вилочным электропогрузчиком &ndash; от 1 года;</li> <li>Наличие водительского удостоверения на право управления транспортным средством соответствующей категории или подкатегории;</li> <li>Знание основных устройств и механизмов электропогрузчика, правила эксплуатации техники и нормы проведения элементарного обслуживания или устранения неисправностей;</li> <li>Умение работать с ПК;</li> <li>Пунктуальность, внимательность, ответственность.</li> </ul>","<ul> <li>Управление погрузо-разгрузочной техникой, обеспечение бесперебойной работы и сохранности продукции при погрузочно-разгрузочных работах;</li> <li>Погрузка и выгрузка всех видов почтовых отправлений, в том числе: крупногабаритных почтовых отправлений, контейнеров и емкостей с почтовыми отправлениями, газетных пачек и иных товарно-материальных ценностей, принятых к пересылке с помощью электропогрузчика;</li> <li>Осуществлять контроль постановки электропогрузчиков и электротягачей на зарядку аккумуляторных батарей в определенные часы суток, в зависимости от дня недели или праздничного дня;</li> <li>Осуществлять их мелкий ремонт (основное: замена колес или восстановление колесных камер</li> </ul>",0.0,2023-11-02T05:39:52+0300,Хабаровский край,,LARGE,водительское удостоверение водителя погрузчика,[],0.0,,,нет стипендии,,от 43400,43400.0,50000.0,Сменный график,,Работодатель,2700000000000.0,ACCEPTED,,"Хабаровск, ул. Ленинградская, 62 А","Хабаровский край, Город Хабаровск, Ленинградская улица, 62А",2.70000010000444e+16,62А,48.497146,135.07034,,водитель вилочного погрузчика,VISIBLE_TO_ALL,2,"Транспорт, автобизнес, логистика, склад, ВЭД",7.0,,,,УФПС ХАБАРОВСКОГО КРАЯ,7724490000.0,"{""companycode"":""f96ddf00-66af-11ec-8c24-57fc951f3846"",""email"":""admin_zakupki@russianpost.ru"",""hr-agency"":false,""inn"":""7724490000"",""kpp"":""272143001"",""name"":""УФПС ХАБАРОВСКОГО КРАЯ"",""ogrn"":""1197746000000"",""phone"":""+7(495)9562067"",""url"":""https://trudvsem.ru/company/f96ddf00-66af-11ec-8c24-57fc951f3846""}",[],[],[]
476ab475-82de-11ee-b151-cb26dff57dd7,,False,,,,,,Полная занятость,False,2023-11-14T14:09:28+0300,,133927.0,Industry,1076320017840,Шамин Алексей Иванович,,"[""476ab474-82de-11ee-b151-cb26dff57dd7"",""476ab473-82de-11ee-b151-cb26dff57dd7"",""476ab472-82de-11ee-b151-cb26dff57dd7"",""476ab471-82de-11ee-b151-cb26dff57dd7"",""476ab470-82de-11ee-b151-cb26dff57dd7""]",2023-11-14T14:09:28+0300,2023-11-14T14:14:17+0300,False,Не указано,,,,,True,False,False,,,,COMPANY,,<p>Без предъявления требований к образованию и опыту работы</p>,<p>Литье алюминиевых заготовок</p>,0.0,2023-11-14T14:14:17+0300,Самарская область,,SMALL,,[],0.0,,,нет стипендии,,от 30000,30000.0,30000.0,Сменный график,,Работодатель,6300000000000.0,ACCEPTED,,,"Самарская область, Город Тольятти, Северная улица,  18 стр 22",6.30000070000462e+16, 18 стр 22,53.581742,49.29188,,Литейщик металлов и сплавов,VISIBLE_TO_ALL,1,Производство,4.0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТДМК""",6321191904.0,"{""companycode"":""1076320017840"",""email"":""tdmk@mail.ru"",""hr-agency"":false,""inn"":""6321191904"",""kpp"":""632101001"",""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ТДМК\"""",""ogrn"":""1076320017840"",""phone"":""+7(8482)697220"",""site"":""http://www.ftdmk.ru"",""url"":""https://trudvsem.ru/company/1076320017840""}",[],[],[]
473502c5-7ede-11ee-be6b-cb26dff57dd7,,False,,,<p><strong>Не комплектуется</strong></p>,,,Полная занятость,False,2023-11-09T11:59:23+0300,,265416.0,ElectricpowerIndustry,1052457013476,Иванова Марина Анатольевна,,"[""473502c0-7ede-11ee-be6b-cb26dff57dd7"",""473502c1-7ede-11ee-be6b-cb26dff57dd7"",""473502c2-7ede-11ee-be6b-cb26dff57dd7"",""473502c3-7ede-11ee-be6b-cb26dff57dd7"",""473502c4-7ede-11ee-be6b-cb26dff57dd7""]",2023-11-09T11:59:23+0300,2023-11-09T11:59:44+0300,False,Высшее,,,,False,True,False,False,,,,COMPANY,,<p>&nbsp;высшее техническое образование</p>,"<p>&nbsp;Подготовка предложений и участие в формировании, согласовании и контроле исполнения утвержденных годовых специализированных планов и программ. Осуществление проверок документации по плану ввода в действие производственных мощностей, объектов строительства и методологическое сопровождение. Участие в разработке Плана мероприятий по аудиту на год в соответствии с годовыми специализированными планами и программами. Осуществление экспертной оценки, верификации полученных от структурных подразделений инициирующих материалов по инвестиционным инициативам. Осуществление экспертной оценки, верификации технических требований (технических заданий) стадии &laquo;Инициация&raquo;, определение целей будущего проекта, требований к результатам предпроектных проработок. Осуществление экспертной оценки, верификации, выдачи рекомендаций для корректировки технических требований (технических заданий). Осуществление экспертной оценки, верификации, выдачи рекомендаций для корректировки заданий на проектирование (технических заданий на выполнение комплекса работ на условиях &laquo;под ключ&raquo;).</p>",0.0,2023-11-09T11:59:44+0300,Красноярский край,,LARGE,,[],3.0,,,нет стипендии,,от 0,0.0,150000.0,Полный рабочий день,,Работодатель,2400000000000.0,ACCEPTED,,,"Красноярский край, Город Норильск, Ветеранов улица, 19",2.40000090000005e+16,19,69.343331,88.230326,,Главный геодезист (Управление координации реализации проектов капитального строительства),VISIBLE_TO_ALL,1,Электроэнергетика,6.0,,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРИЛЬСКО-ТАЙМЫРСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""",2457058356.0,"{""companycode"":""1052457013476"",""email"":""LSV250321@YANDEX.RU"",""hr-agency"":false,""inn"":""2457058356"",""kpp"":""245701001"",""name"":""АО \""НТЭК\"""",""ogrn"":""1052457013476"",""phone"":""+7(3919)431110"",""url"":""https://trudvsem.ru/company/1052457013476""}",[],[],[]
472e2c42-a8c7-11ed-9e44-93f7cc862eb6,,False,,,Новое рабочее место<br/>ОБРАБОТЧИК ПТИЦЫ<br/>Умение работать в команде<br/>Ответственность,,,Полная занятость,False,,CZN,153352.0,Agricultural,1024401432747,,CZN,"[""29f5c7a0-be39-11ed-a2e7-93f7cc862eb6"",""29f5c7a1-be39-11ed-a2e7-93f7cc862eb6""]",2023-02-10T01:15:36+0300,2023-11-07T12:55:29+0300,False,Среднее,,,,False,True,False,False,,,,EMPLOYMENT_SERVICE,Доставка на работу,"Внимательность, пунктуальность, ответственность, без вредных привычек.","Ведение процесса обработки тушек птицы, обслуживание транспортера для подачи птицы на убой. Ведение процесса формовки и упаковки тушек птицы в пакеты и ящики",0.0,2023-11-07T12:55:29+0300,Костромская область,,SMALL,,[],0.0,,,нет стипендии,,от 40000,40000.0,0.0,Полный рабочий день,,Работодатель,4400000000000.0,ACCEPTED,,"157201, ДМИТРИЕВСКОЕ Д, р-н Галичский, НОВАЯ УЛ",Костромская область,4400000000000.0,,58.337527,42.348146,,Обработчик птицы,VISIBLE_TO_ALL,3,"Сельское хозяйство, экология, ветеринария",1.0,,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЛИЧСКОЕ"" ПО ПТИЦЕВОДСТВУ",4411000220.0,"{""companycode"":""1024401432747"",""email"":""galichskoe@mail.ru"",""hr-agency"":false,""inn"":""4411000220"",""kpp"":""441101001"",""name"":""АО \""ГАЛИЧСКОЕ\"" ПО ПТИЦЕВОДСТВУ"",""ogrn"":""1024401432747"",""phone"":""+7(49437)21719"",""url"":""https://trudvsem.ru/company/1024401432747""}",[],[],[]
471d0ae5-7fc3-11ee-8766-e7d0d2cf29b1,,False,,,,,,Полная занятость,False,2023-11-13T17:04:22+0300,,157641.0,Resources,1035900103997,Войнова Анастасия Андреевна,,"[""471d0ae0-7fc3-11ee-8766-e7d0d2cf29b1"",""471d0ae1-7fc3-11ee-8766-e7d0d2cf29b1"",""471d0ae2-7fc3-11ee-8766-e7d0d2cf29b1"",""471d0ae3-7fc3-11ee-8766-e7d0d2cf29b1"",""471d0ae4-7fc3-11ee-8766-e7d0d2cf29b1""]",2023-11-10T15:18:38+0300,2023-11-14T07:23:24+0300,False,Среднее общее,,,,,True,False,False,,,,COMPANY,,"<p>Образование не ниже среднего общего</p> <p>Обучение по профессии ""Оператор обезвоживающей и обессоливающей установки 4 разряда""</p>","<p>1. Анализ хода технологического процесса обезвоживания, обессоливания и стабилизации нефти.</p> <p>2. Корректировка параметров технологического процесса обезвоживания, обессоливания и стабилизации нефти.</p> <p>3. Контроль обеспечения безопасной работы технологического оборудования установок обезвоживания, обессоливания и стабилизации нефти всех категорий, установок предварительного сброса воды.</p> <p>4. Контроль и регулировка параметров технологического процесса обезвоживания, обессоливания, стабилизации нефти и предварительного сброса воды.</p> <p>5. Приемка технологического оборудования установок обезвоживания, обессоливания и стабилизации нефти всех категорий, установок предварительного сброса воды из ремонта.</p>",0.0,2023-11-14T07:23:24+0300,Пермский край,,LARGE,,[],0.0,,,нет стипендии,,от 38000,38000.0,0.0,Сменный график,,Работодатель,5900000000000.0,ACCEPTED,,,"Пермский край, Куединский район, Малая Тапья деревня",5901100005400.0,,56.488681,55.355158,,Оператор обезвоживающей и обессоливающей установки 4 разряда Цеха добычи нефти и газа № 3 (Гожанский нефтегазопромысел),VISIBLE_TO_ALL,1,Добывающая промышленность,4.0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""",5902201970.0,"{""companycode"":""1035900103997"",""email"":""lp@lp.lukoil.com"",""hr-agency"":false,""inn"":""5902201970"",""kpp"":""590201001"",""name"":""ООО \""ЛУКОЙЛ-ПЕРМЬ\"""",""ogrn"":""1035900103997"",""phone"":""+7(342)2356101"",""site"":""http://perm.lukoil.ru/"",""url"":""https://trudvsem.ru/company/1035900103997""}",[],[],[]
47060ec5-1954-11ed-a55b-ed9942adf613,,False,,50.0,,MONTHLY,PERCENT,Полная занятость,False,2022-08-11T12:46:24+0300,,173515.0,Sales,1027739165662,Специалист горячей линии по подбору персонала,,"[""47060ec0-1954-11ed-a55b-ed9942adf613"",""47060ec1-1954-11ed-a55b-ed9942adf613"",""47060ec2-1954-11ed-a55b-ed9942adf613"",""47060ec3-1954-11ed-a55b-ed9942adf613"",""47060ec4-1954-11ed-a55b-ed9942adf613""]",2022-08-11T12:02:07+0300,2023-11-09T13:57:08+0300,False,Среднее,,,,,True,False,False,,,,COMPANY,<p>Заработная плата сотрудников складывается из оклада (чтс) и премии по результатам выполнения личных и командных показателей.</p>,"<p>- Образование не ниже среднего;</p> <p>- Желание зарабатывать и развиваться в сфере продаж;</p> <p>- Опыт работы на аналогичных должностях приветствуется, но не обязателен (предусмотрено внутреннее обучение и наставничество)</p>","<p>- Продавать электронику и цифровую технику;</p> <p>- Предлагать и подключать услуги компании: тарифные планы, кредитные продукты.</p> <p>- Консультировать покупателей;</p> <p>- Работать с кассой, 1С;&nbsp;</p>",0.0,2023-11-09T13:57:08+0300,Пермский край,,SMALL,,[],0.0,,,нет стипендии,,от 38000,38000.0,0.0,Полный рабочий день,,Работодатель,5900000000000.0,ACCEPTED,,"У компании открыты вакансии в нескольких магазинах города, для сотрудников мы стараемся подобрать наиболее удобный по расположению.","Пермский край, Город Пермь, Советская улица, 50",5.90000010001114e+16,50,58.014937,56.237834,,Продавец-консультант (Пермь),VISIBLE_TO_ALL,5,"Продажи, закупки, снабжение, торговля",4.0,,,,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКАЯ ТЕЛЕФОННАЯ КОМПАНИЯ""",7709356049.0,"{""companycode"":""1027739165662"",""email"":""legal@mtsretail.ru"",""hr-agency"":false,""inn"":""7709356049"",""kpp"":""770901001"",""name"":""АО \""РТК\"""",""ogrn"":""1027739165662"",""phone"":""+7(495)7108606"",""site"":""https://job-mtsretail.ru/"",""url"":""https://trudvsem.ru/company/1027739165662""}",[],[],[]
46ff0e45-82c6-11ee-b151-cb26dff57dd7,,False,,,,,,Полная занятость,False,2023-11-14T11:17:40+0300,,278172.0,ElectricpowerIndustry,1064823002936,Попова Юлия Сергеевна,,"[""46ff0e40-82c6-11ee-b151-cb26dff57dd7"",""46ff0e41-82c6-11ee-b151-cb26dff57dd7"",""46ff0e42-82c6-11ee-b151-cb26dff57dd7"",""46ff0e43-82c6-11ee-b151-cb26dff57dd7"",""46ff0e44-82c6-11ee-b151-cb26dff57dd7""]",2023-11-14T11:17:40+0300,2023-11-14T11:38:13+0300,False,Среднее профессиональное,,,,,True,False,False,,,,COMPANY,"<ul> <li>График работы 5/2 с 8.00 до 17.00;</li> <li>Официальное трудоустройство;</li> <li>Ежеквартальные премии по результатам работы;</li> <li>Заработная плата 2 раза в месяц;</li> <li>Ежегодная индексация заработной платы с учетом роста потребительских цен;</li> <li>Дополнительные премии работникам к праздникам, юбилеям, доплаты за стаж работы на предприятии;</li> <li>Материальная помощь к ежегодному отпуску;</li> <li>Подарки детям сотрудников к Новому году, компенсация летнего отдыха в детских лагерях;</li> <li>Дополнительное социальное обеспечение сотрудников в рамках коллективного договора.</li> </ul>","<ul> <li>Образование высшее или средне-специальное (техническое)</li> <li>Опыт работы не менее 3 лет</li> <li>Группа по электробезопасности не ниже 4</li> <li>Знание ПУЭ, правила ОТиПБ, ПТЭЭП</li> <li>Уверенный пользователь ПК</li> <li>Умение анализировать и систематизировать данные</li> </ul>","<p>Контролирует выполнение и организует работу по подготовке подчиненному персоналу заданий на производство работ по:</p> <ul> <li>монтажу, демонтажу индивидуальных, общих квартирных, комнатных приборов учёта электрической энергии;</li> <li>осуществлению ввода в эксплуатацию ИПУ;</li> <li>проведению проверок состояния установленных и введенных в эксплуатацию ИПУ, факта их наличия или отсутствия;</li> <li>снятию показаний ИПУ и общедомовых приборов учета электрической энергии многоквартирных домов;</li> <li>проведению работ по выявлению несанкционированного подключения внутриквартирного оборудования потребителя к внутридомовым инженерным сетям;</li> <li>приостановка, ограничению предоставления электрической энергии потребителям;</li> <li>возобновлению предоставления электрической энергии потребителям;</li> <li>по информированию потребителей электроэнергии о необходимости ежемесячной передачи показаний ИПУ;</li> <li>по информированию потребителей электрической энергии о необходимости погашения задолженности за потребленную электроэнергию, размере штрафных санкций за самовольное подключение электроэнергии путем расклейки стикеров.</li> <li>Осуществляет допуск подчиненного персонала к работе.</li> <li>Формирует отчёты о выполненной работе.</li> <li>Деловая переписка</li> </ul>",0.0,2023-11-14T11:38:13+0300,Липецкая область,,SMALL,,[],0.0,,,нет стипендии,,от 48000,48000.0,0.0,Полный рабочий день,,Работодатель,4800000000000.0,ACCEPTED,,,"Липецкая область, Город Липецк, Победы проспект, дом: 87;корпус: А;",4.8000001000043e+16,дом: 87;корпус: А;,52.589222,39.556289,,мастер,VISIBLE_TO_ALL,2,Электроэнергетика,1.0,,,,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧНОЕ ЭНЕРГОСБЕРЕЖЕНИЕ""",4822001340.0,"{""companycode"":""1064823002936"",""email"":""edo-gosusl@lesk.ru"",""hr-agency"":false,""inn"":""4822001340"",""kpp"":""482401001"",""name"":""ООО \""НОВИТЭН\"""",""ogrn"":""1064823002936"",""phone"":""+7(980)3560115"",""site"":""http://www.lesk.ru"",""url"":""https://trudvsem.ru/company/1064823002936""}",[],[],[]
