,id,title,city,age,gender,area,desired_wage,work_experience,education_level,languages,skills,about
0,006ce5ad000161a1780039ed1f367247684b64,Водитель-курьер Подработка,Барнаул,38,Мужчина,"['Курьер', 'Водитель']",50000,16.1,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1', 'Немецкий': 'A1'}","['Обучаемость', 'Русский — Родной', 'Английский — A1 — Начальный', 'Немецкий — A1 — Начальный']","Активный,Ответственный, целеустремлённый, надёжный человек! С хорошей быстрой обучаймостью! Справляюсь с большим обьёмом информации!!! С Высокой Работаспособнастью!!! Имею опыт в продажах! НЕ ИМЕЮ ВРЕДНЫХ ПРИВЫЧЕК!!! Есть Сан.книжка!"
0,0092fa0e000793746d0039ed1f30346c674933,Технолог общественного питания,Жезказган,45,Женщина,Инженер по качеству,0,21.4,Высшее образование,{'Russian': 'Native'},"['Общественное питание', 'Производственный контроль', 'Управление производством', 'Разработка инструкций', 'Разработка нового продукта', 'HACCP', 'Расчет себестоимости', 'Ведение документации', 'Санитарный контроль', 'Русский — Родной']","Имею  организаторские способности.                                       Знаю русскую, европейскую, азиатскую (японскую) кухню, основы правильного питания,  , как опытный пользователь Microsoft Excel,  Microsoft Word, Шеф-эксперт(общепит)  почта, сканер и др.
Имею сертификаты по прохождению курсов:
 -1с 8.3 (бухгалтер)
 -Внедрение и разработка принципов ХАСCP"
0,009713fa000188f6020039ed1f6346466f7556,Региональный менеджер,Хабаровск,44,Мужчина,"['Менеджер по продажам, менеджер по работе с клиентами', 'Менеджер по работе с партнерами', 'Руководитель филиала', 'Коммерческий директор (CCO)', 'Руководитель отдела продаж']",180000,21.11,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1'}","['Ведение переговоров, управление проектом, 1С.', 'MS PowerPoint', 'MS Word', 'Пользователь ПК', 'MS Outlook', 'Работа в команде', 'Деловая переписка', 'Организаторские навыки', 'Работа с большим объемом информации', 'Управление проектами', 'MS Excel', 'Русский — Родной', 'Английский — A1 — Начальный']","Аналитические, организаторские способности, клиентоориентирован, нацелен на результат, высокий уровень самоорганизации и самомотивации, трудолюбив, ответственный, позитивная жизненная позиция, стрессоустойчив, легко обучаем. Опыт проведения презентаций, переговоров с первыми лицами компаний.
Хобби: Охота, рыбалка, Музыка."
0,010cc7ca0005c26d970039ed1f6148614e3472,Внештатный корреспондент,Москва,27,Мужчина,"['Режиссер, сценарист', 'Продюсер', 'Журналист, корреспондент', 'Артист, актер, аниматор']",0,7.4,Высшее образование,"{'Русский': 'Родной', 'Английский': 'C1', 'Испанский': 'B2'}","['Написание текстов', 'Интервьюирование', 'Написание статей', 'Спортивные мероприятия', 'Социальные сети', 'Написание пресс-релизов', 'Креативность', 'Телефонное интервью', 'Телевидение', 'Грамотность', 'Английский язык', 'Написание сценариев', 'Испанский язык', 'Репортаж', 'Документальное кино', 'Грамотная речь', 'Ведение переговоров', 'Организация мероприятий', 'Написание рекламных статей', 'Редактирование', 'Организаторские навыки', 'Русский — Родной', 'Английский — C1 — Продвинутый', 'Испанский — B2 — Средне-продвинутый']","Портфолио журналиста: https://www.clippings.me/eugene96

Портфолио SMM-щика:
https://docs.google.com/document/d/1P-ydM7h1Hj5cfFY13uFrnYS-NHNuTlYsKOF-CQAL4o4/edit

Резюме: https://drive.google.com/file/d/1KeY4JWQq_SQX8KWFYKQDbH6JXJ8rEi3M/view

Качества: Высокая работоспособность, коммуникабельность, исполнительность, пунктуальность, грамотность (ЕГЭ по русскому языку –  100 баллов), быстрая обучаемость, умение выслушать критику и сделать правильные выводы.


Увлечения: 
- Спорт (КМС, чемпион Москвы и Московской области, финалист чемпионата России по лёгкой атлетике; чемпион Люберецкого района по футболу и волейболу); 
- Путешествия (участие в федеральном проекте «Маршруты России», туристическом форуме «ночи над Волгой», съёмка документального кино про Северный Кавказ);
- Экстрим (участие в челлендже «Red Bull Can You Make It», прыжки с парашюта, тарзанки);
- Видеопродакшн (вайны, интервью + съёмка в судебном шоу на ТК ""Домашний"", видеоотзывы рекламным компаниям) 
- Подкасты (авторский подкаст ""Болтливые Гривы"")
- Написание сценариев (На YouTube для кулинарных шоу и кино) и стихов


Хобби: спорт, журналистика, музыка, кулинария, туризм."
0,010d42ed00029620bc0039ed1f6f69544c6f68,Начальник участка,Казань,32,Мужчина,"['Руководитель строительного проекта', 'Руководитель проектов', 'Менеджер по закупкам']",100000,10.7,Высшее образование,{'Russian': 'Native'},Русский — Родной,"Ответственный ,трудолюбивый, коммуникабельный ,аккуратный ,амбициозный , честный , умею быстро адаптироваться , лояльный и соответсвую корпаративной культуре , имею способность работать в стрессовых ситуациях , желаю учиться и развиваться , этичный ,умею быстро и легко находить новые стратегии решения любого вопроса"
0,01266646000072bbbb0039ed1f736563726574,Главный  бухгалтер,Москва,42,Женщина,Бухгалтер,135000,22.1,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B2'}","['Бухгалтерская отчетность', 'Налоговая отчетность', 'Расчет заработной платы', '1С: Предприятие 8', 'Бухгалтерский учет', '1С: Бухгалтерия', 'Первичная документация', 'Первичная бухгалтерская документация', 'Статистическая отчетность', 'Расчет НДС', 'Отчетность в ПФР', 'Отчетность в ФСС', 'Годовой баланс', 'Основные средства', 'Финансовая отчетность', 'прохождение налоговых проверок', 'Управление бухгалтерией', 'Русский — Родной', 'Английский — B2 — Средне-продвинутый']","Умение работать в программах Word, Exel, 1C Торговля 7.7, 8.2, 8.3, 1С Бухгалтерия 7.7, 8.2, 8.3, ЗУП 8.3, УНФ 8.3 Банк-клиент, SAP. Хорошее знание английского языка."
0,01326adb00045f38b40039ed1f657265595774,Главный инженер,Казань,32,Мужчина,"['Главный инженер проекта', 'Руководитель строительного проекта', 'Руководитель проектов']",0,9.8,Высшее образование,"{'Русский': 'Родной', 'Английский': 'A1'}","['AutoCAD', 'Строительство', 'Работа с документами', 'Пользователь ПК', 'Работа с оргтехникой', 'Разработка проектной документации', 'Ведение документации', 'Управление проектами', 'Английский язык', 'Internet', 'Водительское удостоверение А,В,С', 'Исполнительно-Техническая Документация', 'Технадзор', 'Куратор', 'Согласование изменений ПД', 'Ввод в эксплуатацию', 'получение разрешений', 'Регулирование спорных вопросов', 'Технический контроль производства', 'Русский — Родной', 'Английский — A1 — Начальный']","Отличное владение ПК, работа в Автокад, офис и т.п. Безупречное чтение проектной документации.  Понимание строительного процесса и технологии. Отличное понимание в исполнительной документации. Прекрасная коммуникабельность, взаимодействие с заказчиками, проектными институтами , подрядчиками и т.д. "
0,0161f52e0008130d370039ed1f6b7a6f6b636e,Инженер-технолог,Нефтекамск,25,Мужчина,Технолог,120000,3.7,Высшее образование,"{'Русский': 'Родной', 'Английский': 'B1', 'Татарский': 'C1'}","['Исполнительность', 'Ответственный', 'Энергичный', 'Умение находить общий язык с людьми', 'AutoCAD', 'Компас-3D', 'Разработка проектной документации', 'MS Word', 'MS Excel', 'MS Office', 'Русский — Родной', 'Английский — B1 — Средний', 'Татарский — C1 — Продвинутый']","Ответственный, исполнительный, стрессоустойчивый, коммуникабельный, честный. С отличием закончил Нефтекамский нефтяной колледж, успешно отслужил в рядах вооружённых сил. Имеется рекомендательное письмо. Мои сильные стороны — хорошие управленческие и лидерские навыки,позитивный настрой,умением работать в команде, способностью к обучению. Не имею вредных привычек."
0,01960b8d0007d216e90039ed1f4c4b55646855,Руководитель проектов.,Белорецк,44,Мужчина,Начальник производства,0,21.1,Высшее образование,"{'Русский': 'Родной', 'Немецкий': 'A1'}","['Разработка нового продукта', 'Реконструкция', 'Управление проектами', 'Модернизация оборудования.', 'Русский — Родной', 'Немецкий — A1 — Начальный']",No information
0,019b6ee700053903140039ed1f525461565771,Экономист,Красноярск,27,Женщина,Экономист,0,0,Высшее образование,{'Russian': 'Native'},"['MS Word', 'MS Excel', 'Internet', 'MS Office', 'Пользователь ПК', 'Русский — Родной']","Личные качества: стрессоустойчивость, коммуникабельность, ответственность, внимательность, целеустремленность, усидчивость, пунктуальность. Ключевые навыки: умение работать в команде, быстрая обучаемость. 

Без вредных привычек.

Цель: получение опыта и навыка в данной сфере деятельности."
